Product	Hoeveelheid	Eenheid	Kcal	Eiwit	Koolhydraten	Vet
wortelen	100	g	32,00	1	7	0
yoghurt bio nature	100	g	67,80	3,8	5,5	3,4
yoghurt (danone)	100	g	103,60	3,6	16	2,8
yoghurt (halfvol)	100	g	49,50	4,3	4,7	1,5
yoghurt (light met fruit)	100	g	43,60	4	6	0,4
yoghurt (mager met fruit)	100	g	64,90	3,6	12,4	0,1
yoghurt (mager)	100	g	32,90	4	4	0,1
yoghurt (vol met fruit)	100	g	93,50	4	14,2	2,3
yoghurt (vol)	100	g	56,40	3,4	3,5	3,2
yoghurtdrank	100	g	66,00	3,2	13,3	0
yogonaise	100	g	276,20	0,8	12	25
zalm (gerookt)	100	g	136,00	25	0	4
zalm in blik (rode)	100	g	215,50	19	0	15,5
zalm in blik (roze)	100	g	159,50	23	0	7,5
zalmfilet	100	g	224,00	20	0	16
zemelen	100	g	218,00	14	27	6
zemelkoek	1	stuk	51,90	1,4	9,1	1,1
zilveruien (zoetzuur)	100	g	28,00	0	7	0
ZMA	1	st	0,00	0	0	0
zonnebloempitten	100	g	632,50	18	13	56,5
zout biscuitje	100	g	502,00	7	51	30
zout koekje	100	g	611,00	7	40	47
zout stokje	100	g	370,00	12	67	6
zure room	100	g	203,60	2,7	3,2	20
zuring	100	g	25,30	2,6	2,6	0,5
zuurkool	100	g	24,00	2	4	0
zuurkoolstamppot	100	g	52,10	1,9	10,9	0,1
zuurtje	100	g	380,00	0	95	0
zwarte bessen	100	g	40,00	2	8	0
zwitserse strooikaas	100	g	128,00	32	0	0
			0,00			
			0,00			
			0,00			
			0,00			
			0,00			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
